Date & Time,Amount Outgoing (Yen),Amount Incoming (Yen),Amount Outgoing Overseas,Currency,Exchange Rate (Yen),Country Paid In,Transaction Type,Business Name,Method,Payment Option,User,Transaction ID
2025/11/30 18:09:28,-,83,-,-,-,-,"Points, Balance Earned",Yahoo!ショッピング,PayPay Point,-,-,lp-102895974642327552-c_4ac2d1bf-f412-4da7-96ea-5de6f0d7f980_sppf
2025/11/30 18:09:27,"7,607",-,-,-,-,-,Payment,Yahoo!ショッピング,"PayPay Point (110yen), Credit Mastercard 5298 (7,497yen)",-,-,04856303776551141379
2025/11/30 13:28:52,"3,270",-,-,-,-,-,Payment,apollostation - プリテールせんげん台SS,Credit Mastercard 5298,-,-,04856159156412997646
2025/11/30 12:51:03,-,110,-,-,-,-,"Points, Balance Earned",Yahoo!ショッピング,PayPay Point,-,-,lp-102895974642327552-c_ee52bdc2-c5d7-4b29-8d10-c719d4e6ed1e_sppf
2025/11/30 12:51:02,"10,781",-,-,-,-,-,Payment,Yahoo!ショッピング,"PayPay Point (65yen), Credit Mastercard 5298 (10,716yen)",-,-,04856139657261400068
2025/11/30 10:22:58,-,38,-,-,-,-,"Points, Balance Earned",Yahoo!ショッピング,PayPay Point,-,-,lp-102895974642327552-c_65954d6d-c650-430c-885e-5b3bae5402a7_sppf
2025/11/30 10:22:58,"3,795",-,-,-,-,-,Payment,Yahoo!ショッピング,Credit Mastercard 5298,-,-,04856063344282296321
2025/11/30 09:38:59,"12,622",-,-,-,-,-,Payment,ジヤパンミートコシガヤテン,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025113009385900046942
2025/11/30 08:38:38,-,27,-,-,-,-,"Points, Balance Earned",Yahoo!ショッピング,PayPay Point,-,-,lp-102895974642327552-c_30ea4ec5-0fc2-42bd-85a0-ccde25b712ab_sppf
2025/11/30 08:38:38,"3,446",-,-,-,-,-,Payment,Yahoo!ショッピング,"PayPay Point (744yen), PayPay Balance (2,702yen)",-,-,04856009579881275393
2025/11/30 07:35:01,-,"1,000",-,-,-,JP,Money Received,ハナノトウ,PayPay Balance,-,-,02144828504165548032
2025/11/29 20:02:47,490,-,-,-,-,-,Payment,イオンモール - イオンモール春日部,Credit Mastercard 5298,-,-,04855620009168027655
2025/11/29 19:49:21,"5,499",-,-,-,-,-,Payment,H&M - H＆Mイオンモール春日部,Credit Mastercard 5298,-,-,04855613094270353411
2025/11/29 19:14:41,"1,315",-,-,-,-,-,Payment,イオンリテール - イオン春日部,Credit Mastercard 5298,-,-,04855595218617122823
2025/11/29 18:07:04,"1,090",-,-,-,-,-,Payment,アジアnごはん 春日部店 - イオンモール春日部店,Credit Mastercard 5298,-,-,04855560377842106368
2025/11/28 21:02:35,-,"2,000",-,-,-,JP,Money Received,ハナノトウ,PayPay Balance,-,-,02143760388749516800
2025/11/28 18:46:54,"3,753",-,-,-,-,-,Payment,餃子の王将 - 餃子の王将　せんげん台店,Credit Mastercard 5298,-,-,04854838728846966792
2025/11/28 15:19:37,420,-,-,-,-,-,Payment,EIGHT COFFEE - EIGHTCOFFEE恵比寿,Credit Mastercard 5298,-,-,04854731904420577282
2025/11/28 14:26:29,-,"1,320",-,-,-,-,Refund,日本郵便,Credit Mastercard 5298,-,-,04854702226196135944
2025/11/28 14:22:03,"1,320",-,-,-,-,-,Payment,日本郵便,Credit Mastercard 5298,-,-,04854702226196135944
2025/11/28 14:00:56,"1,070",-,-,-,-,-,Payment,日本郵便,Credit Mastercard 5298,-,-,04854691342749401096
2025/11/28 13:14:52,170,-,-,-,-,-,Payment,ジハンピ,Credit Mastercard 5298,-,-,04854667600170197000
2025/11/28 12:18:32,"1,210",-,-,-,-,-,Payment,グリーンハウスフーズ - GHF 55楼菜館,Credit Mastercard 5298,-,-,04854638574781243398
2025/11/28 11:28:30,"4,613",-,-,-,-,-,Payment,セイワミルク,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025112811283000789958
2025/11/28 09:42:14,"60,000",-,-,-,-,-,Invested,PayPay Securities,Credit Mastercard 5298,-,-,04854558009784164352
2025/11/28 09:42:12,"40,000",-,-,-,-,-,Invested,PayPay Securities,Credit Mastercard 5298,-,-,04854558001194098690
2025/11/28 05:34:03,"1,200",-,-,-,-,-,Payment,宝くじ公式サイト,Credit Mastercard 5298,-,-,04854430105658884096
2025/11/28 02:08:04,232,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04854323942656434179
2025/11/28 00:54:25,160,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04854285975146184706
