Date & Time,Amount Outgoing (Yen),Amount Incoming (Yen),Amount Outgoing Overseas,Currency,Exchange Rate (Yen),Country Paid In,Transaction Type,Business Name,Method,Payment Option,User,Transaction ID
2025/10/31 14:57:34,-,60,-,-,-,-,"Points, Balance Earned",シズラー新宿三井ビル店,PayPay Point,-,-,PPCD_A_2025102714581200112443
2025/10/31 12:38:11,"3,460",-,-,-,-,-,Payment,セイワミルク,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025103112381100126658
2025/10/31 06:53:42,"3,490",-,-,-,-,-,Bank Transfer,PayPay銀行 *****87,PayPay Balance,-,-,02122542099255771136
2025/10/31 02:12:42,120,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04833545552300728320
2025/10/31 01:27:24,392,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04833522213448089600
2025/10/31 00:00:00,"100,000",-,-,-,-,-,Bank Transfer,キャッシング利用,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_C_202510313700003152229557
2025/10/30 17:10:37,-,4,-,-,-,-,"Points, Balance Earned",富士薬品グループ,PayPay Point,-,-,04833266164677386244
2025/10/30 17:10:36,290,-,-,-,-,-,Payment,富士薬品グループ - ドラッグストアスマイル　せんげん台店,Credit Mastercard 5298,-,-,04833266164677386244
2025/10/30 17:08:07,406,-,-,-,-,-,Payment,ビッグエー6220せんげん台駅東口,Credit Mastercard 5298,-,-,04833264876187140101
2025/10/30 17:08:07,-,8,-,-,-,-,"Points, Balance Earned",ビッグエー6220せんげん台駅東口,PayPay Point,-,-,04833264876187140101
2025/10/30 15:06:50,-,20,-,-,-,-,"Points, Balance Earned",ＩＤＡＲＥ,PayPay Point,-,-,PPCD_A_2025102512225900404870
2025/10/30 14:24:26,"1,200",-,-,-,-,-,Money Sent,080******10,PayPay Balance,-,-,02122032243686326276
2025/10/30 10:46:51,"3,900",-,-,-,-,-,Payment,APPLE COM BILL,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025103010465100540432
2025/10/30 09:56:43,"9,821",-,-,-,-,-,Payment,ナチュラルサイエンス,PayPay Card Gold Mastercard 5298,One-time Payment,Personal Use,PPCD_A_2025103009564300923377
2025/10/30 00:44:44,60,-,-,-,-,-,Invested,PayPayポイント運用,PayPay Point,-,-,04832758044277293060
